,Date / Time,City,State,Shape,Shape,views
0,9/30/97 22:00,Madison,WI,Light,Light,18879
1,9/28/97 23:15,San Francisco,CA,Triangle,Triangle,8330
2,9/27/97 23:00,Egan,SD,Other,Other,5932
3,9/27/97 05:00,Crestwood,KY,Disk,Disk,4300
4,9/25/97 22:00,Clearfield,UT,Triangle,Triangle,8330
5,9/24/97 14:30,Muskegon,MI,Disk,Disk,4300
6,9/23/97 22:30,Brewster,NY,Triangle,Triangle,8330
7,9/23/97 20:00,Rhinebeck (south of),NY,Triangle,Triangle,8330
8,9/23/97 20:00,Hyde Park,VT,Fireball,Fireball,7536
9,9/23/97 19:00,Denison,IA,Disk,Disk,4300
10,9/22/97 20:00,Solomons Island,MD,Disk,Disk,4300
11,9/22/97 14:00,Palo,MI,Cigar,Cigar,1896
12,9/22/97 03:00,St. Louis,MO,Other,Other,5932
13,9/21/97 14:00,Manoa Valley (Honolulu),HI,Disk,Disk,4300
14,9/20/97 22:15,Poway,CA,Triangle,Triangle,8330
15,9/19/97 22:00,Crescent City (80 miles west of),CA,Disk,Disk,4300
16,9/19/97 05:40,Orland Park,IL,Rectangle,Rectangle,1436
17,9/18/97 04:15,West Manchester,OH,Changing,Changing,2275
18,9/17/97 18:00,Delilah Lookout (Sequoia N F),CA,Disk,Disk,4300
19,9/16/97 19:00,Minneapolis,MN,Other,Other,5932
20,9/16/97 04:00,Woodmont,CT,Disk,Disk,4300
21,9/15/97 00:00,Houston,TX,Disk,Disk,4300
22,9/15/97 22:30,Woodstock,CT,Sphere,Sphere,5884
23,9/15/97 22:00,West Milton (north of),OH,Light,Light,18879
24,9/15/97 21:00,Chicago,IL,Light,Light,18879
25,9/15/97 20:00,Santa Fe,NM,Light,Light,18879
26,9/15/97 20:00,Salem,OR,Light,Light,18879
27,9/15/97 20:00,Kent,WA,Sphere,Sphere,5884
28,9/15/97 20:00,Angola,IN,Circle,Circle,9315
29,9/15/97 19:00,Wedgefield,SC,Triangle,Triangle,8330
30,9/15/97 18:00,Farrell,PA,Disk,Disk,4300
31,9/15/97 17:00,Comfort,TX,Cylinder,Cylinder,1370
32,9/15/97 15:00,Colorado Springs,CO,Rectangle,Rectangle,1436
33,9/15/97 09:00,Sherman Oaks,CA,Cigar,Cigar,1896
34,9/10/97 19:00,Alta Loma,CA,Circle,Circle,9315
35,9/9/97 21:30,Roseburg,OR,Light,Light,18879
36,9/9/97 16:00,Las Vegas,NV,Formation,Formation,2864
37,9/7/97 12:00,Gulf of Mexico,LA,Cigar,Cigar,1896
38,9/6/97 04:47,Covington,WA,Triangle,Triangle,8330
39,9/2/97 21:45,Portland,OR,Formation,Formation,2864
40,9/1/97 23:00,Albany,ME,Light,Light,18879
41,9/1/97 22:30,Carlsbad,CA,Light,Light,18879
42,9/1/97 20:00,Pleasant View,TN,Fireball,Fireball,7536
43,9/1/97 18:00,Woodmont,CT,Disk,Disk,4300
44,10/31/97 22:18,Santa Ana,CA,Light,Light,18879
45,10/31/97 10:00,El Paso,TX,Other,Other,5932
46,10/31/97 00:00,Nocona,TX,Sphere,Sphere,5884
47,10/30/97 07:30,Pittsburgh,PA,Disk,Disk,4300
48,10/29/97 19:00,Childress (approx 20 miles north of,TX,Light,Light,18879
49,10/29/97 19:00,Childress (North of),TX,Sphere,Sphere,5884
50,10/29/97 16:30,Glen Alpine,NC,Light,Light,18879
